"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4125.39 0.624023 0.635241 7.28501 0.855475
4125.72 0.625732 0.635104 7.27327 0.855818
4126.06 0.626822 0.634774 7.26585 0.856159
4126.4 0.627265 0.634213 7.25844 0.856497
4126.74 0.627044 0.633351 7.26733 0.856832
4127.07 0.626181 0.632099 7.27628 0.857165
4127.41 0.624706 0.630375 7.28565 0.857494
4127.75 0.622817 0.628128 7.29586 0.857821
4128.09 0.620965 0.62538 7.30609 0.858144
4128.43 0.619567 0.622212 7.31799 0.858463
4128.76 0.618409 0.618741 7.33075 0.85878
4129.1 0.616864 0.615078 7.34356 0.859092
4129.44 0.614544 0.61132 7.36101 0.859401
4129.78 0.612017 0.607526 7.37852 0.859706
4130.11 0.610087 0.603744 7.3919 0.860007
4130.45 0.609297 0.600043 7.39717 0.860304
4130.79 0.609793 0.596531 7.40244 0.860597
4131.13 0.611572 0.593339 7.39994 0.860885
4131.47 0.613289 0.590606 7.39373 0.861169
4131.8 0.612759 0.588425 7.38838 0.861448
4132.14 0.608682 0.586822 7.44258 0.861722
4132.48 0.603202 0.585771 7.49738 0.861992
4132.82 0.59926 0.585253 7.53832 0.862256
4133.16 0.598206 0.585283 7.55286 0.862516
4133.5 0.599038 0.585923 7.56745 0.86277
4133.83 0.600626 0.587262 7.56224 0.863018
4134.17 0.602462 0.589364 7.54819 0.863261
4134.51 0.604414 0.592217 7.53405 0.863499
4134.85 0.606367 0.595723 7.51561 0.863731
4135.19 0.608248 0.599731 7.49723 0.863956
4135.53 0.609991 0.604077 7.47936 0.864176
4135.86 0.61164 0.608634 7.46231 0.86439
4136.2 0.613384 0.61331 7.44532 0.864597
4136.54 0.615407 0.618026 7.42861 0.864798
4136.88 0.617705 0.622673 7.41204 0.864992
4137.22 0.620169 0.627099 7.39567 0.86518
4137.56 0.622653 0.631099 7.38226 0.865361
4137.89 0.624888 0.634447 7.36888 0.865535
4138.23 0.626588 0.636939 7.35962 0.865702
4138.57 0.627778 0.638438 7.35668 0.865863
4138.91 0.628893 0.638882 7.35375 0.866017
4139.25 0.630296 0.63827 7.34472 0.866165
4139.59 0.631445 0.636653 7.33351 0.866306
4139.93 0.63131 0.634112 7.32393 0.866442
4140.26 0.629261 0.63075 7.33356 0.866571
4140.6 0.625965 0.626687 7.34322 0.866693
4140.94 0.622332 0.622067 7.36281 0.86681
4141.28 0.618776 0.617063 7.39627 0.866922
4141.62 0.615097 0.61186 7.42996 0.867027
4141.96 0.611085 0.60665 7.48074 0.867127
4142.3 0.606754 0.601616 7.53732 0.867221
4142.64 0.602225 0.596922 7.59441 0.86731
4142.98 0.597682 0.592691 7.65093 0.867393
4143.31 0.593473 0.589003 7.70809 0.867471
4143.65 0.589971 0.5859 7.75518 0.867544
4143.99 0.587389 0.583396 7.78969 0.867612
4144.33 0.585756 0.5815 7.82444 0.867675
4144.67 0.585072 0.580225 7.83851 0.867734
4145.01 0.585193 0.579614 7.84735 0.867787
4145.35 0.585907 0.57972 7.85514 0.867836
4145.69 0.586868 0.580565 7.85667 0.86788
4146.03 0.587372 0.582101 7.85821 0.86792
4146.37 0.586701 0.584214 7.86312 0.867955
4146.71 0.585249 0.586729 7.87154 0.867986
4147.05 0.584546 0.589436 7.87997 0.868013
4147.38 0.58591 0.592131 7.86618 0.868036
4147.72 0.588958 0.59466 7.84816 0.868055
4148.06 0.59262 0.596934 7.82903 0.86807
4148.4 0.59585 0.59891 7.80489 0.868082
4148.74 0.597664 0.600548 7.78086 0.86809
4149.08 0.597148 0.601804 7.77544 0.868094
