"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4139.25 0.65951 0.670668 4.58081 0.877926
4139.59 0.663982 0.668787 4.57286 0.878103
4139.93 0.665621 0.66536 4.5688 0.878275
4140.26 0.662099 0.660481 4.61136 0.878442
4140.6 0.654738 0.654305 4.65452 0.878603
4140.94 0.645569 0.64703 4.70942 0.87876
4141.28 0.636003 0.638883 4.78098 0.878912
4141.62 0.62669 0.63013 4.8542 0.879059
4141.96 0.6182 0.621082 4.91066 0.879201
4142.3 0.610832 0.612106 4.96234 0.879338
4142.64 0.604747 0.603604 5.01198 0.879471
4142.98 0.600014 0.595991 5.03848 0.879599
4143.31 0.596434 0.589642 5.06519 0.879722
4143.65 0.593757 0.584857 5.08345 0.879841
4143.99 0.591773 0.581819 5.09134 0.879955
4144.33 0.590311 0.580584 5.09924 0.880065
4144.67 0.589233 0.581088 5.09536 0.88017
4145.01 0.588634 0.583169 5.08851 0.880271
4145.35 0.588713 0.586594 5.07969 0.880367
4145.69 0.589686 0.591078 5.05928 0.88046
4146.03 0.591808 0.596303 5.03899 0.880548
4146.37 0.595325 0.601934 5.0145 0.880631
4146.71 0.600149 0.607637 4.98577 0.880711
4147.05 0.605844 0.61309 4.95727 0.880786
4147.38 0.611913 0.618013 4.92621 0.880858
4147.72 0.617572 0.622196 4.8949 0.880925
4148.06 0.621923 0.625509 4.86775 0.880989
4148.4 0.624449 0.627897 4.85759 0.881048
4148.74 0.625529 0.629366 4.84746 0.881104
4149.08 0.625663 0.629963 4.84479 0.881155
4149.42 0.625245 0.629776 4.84857 0.881203
4149.76 0.624574 0.628923 4.85236 0.881248
4150.1 0.623913 0.627547 4.85992 0.881288
4150.44 0.623343 0.625807 4.868 0.881325
4150.78 0.622882 0.623855 4.87578 0.881359
4151.12 0.622517 0.621811 4.88258 0.881388
4151.46 0.622173 0.619759 4.88938 0.881415
4151.8 0.621762 0.61775 4.89693 0.881438
4152.14 0.621086 0.615823 4.905 0.881457
4152.48 0.619862 0.614026 4.9131 0.881473
4152.82 0.61779 0.612404 4.93137 0.881486
4153.16 0.614509 0.610983 4.95047 0.881496
4153.5 0.609649 0.609761 4.97334 0.881502
4153.84 0.604011 0.608725 5.00561 0.881505
4154.18 0.60046 0.607881 5.0382 0.881505
4154.52 0.601781 0.607277 5.02857 0.881502
4154.86 0.607 0.60701 4.99509 0.881496
4155.2 0.612515 0.607203 4.96193 0.881487
4155.54 0.615488 0.607958 4.9555 0.881476
4155.88 0.616442 0.60932 4.94936 0.881461
4156.22 0.616762 0.611276 4.93957 0.881443
4156.56 0.617498 0.613782 4.92283 0.881423
4156.9 0.61919 0.616799 4.90617 0.8814
4157.24 0.622262 0.620304 4.88484 0.881374
4157.58 0.626351 0.624284 4.8616 0.881346
4157.92 0.630627 0.628715 4.83881 0.881315
4158.26 0.634455 0.633533 4.82168 0.881281
4158.6 0.637901 0.638632 4.80464 0.881245
4158.94 0.641183 0.64388 4.78548 0.881206
4159.28 0.644493 0.64915 4.7632 0.881166
4159.62 0.647996 0.654329 4.74107 0.881122
4159.96 0.651837 0.659326 4.7101 0.881077
4160.3 0.656007 0.66407 4.67662 0.881029
4160.64 0.660424 0.668491 4.64405 0.880979
4160.98 0.664949 0.672517 4.61599 0.880927
4161.32 0.669298 0.676073 4.58818 0.880872
4161.66 0.673155 0.679088 4.5706 0.880816
4162.0 0.676066 0.681499 4.56424 0.880758
4162.34 0.677433 0.683247 4.55789 0.880697
4162.68 0.676841 0.684281 4.56354 0.880635
4163.02 0.675172 0.684572 4.57167 0.880571
4163.36 0.67384 0.684115 4.57917 0.880505
4163.7 0.673699 0.68293 4.58388 0.880437
4164.05 0.674309 0.681061 4.58859 0.880367
4164.39 0.675018 0.678571 4.59739 0.880296
4164.73 0.674678 0.675549 4.60962 0.880223
4165.07 0.671698 0.672095 4.6219 0.880149
4165.41 0.665058 0.668333 4.6677 0.880073
4165.75 0.656865 0.664411 4.71781 0.879996
4166.09 0.650251 0.660498 4.75789 0.879917
4166.43 0.646872 0.656748 4.76799 0.879836
4166.77 0.64561 0.653282 4.77813 0.879755
4167.11 0.645093 0.65017 4.78409 0.879672
4167.45 0.644616 0.647439 4.78752 0.879587
4167.79 0.643959 0.645071 4.79095 0.879502
4168.14 0.642917 0.643009 4.80245 0.879415
4168.48 0.641309 0.641157 4.81412 0.879328
4168.82 0.638961 0.63938 4.82839 0.879239
4169.16 0.635867 0.637508 4.8476 0.879149
4169.5 0.63227 0.635363 4.86692 0.879058
4169.84 0.628428 0.632793 4.89055 0.878966
4170.18 0.624498 0.629702 4.91611 0.878874
4170.52 0.620584 0.626062 4.94222 0.87878
4170.86 0.616725 0.621908 4.97333 0.878686
4171.21 0.612755 0.617329 5.00473 0.878591
4171.55 0.608473 0.612452 5.03915 0.878495
4171.89 0.603823 0.607438 5.07753 0.878399
4172.23 0.598929 0.602473 5.11636 0.878302
4172.57 0.593992 0.597762 5.16585 0.878205
4172.91 0.589722 0.59351 5.21876 0.878107
4173.25 0.587062 0.589895 5.26257 0.878009
4173.6 0.586453 0.587056 5.25402 0.87791
4173.94 0.587079 0.58507 5.24548 0.877811
4174.28 0.587958 0.583955 5.23748 0.877711
4174.62 0.588722 0.58368 5.22996 0.877611
4174.96 0.589583 0.584178 5.22246 0.877511
4175.3 0.59075 0.585358 5.21572 0.877411
4175.64 0.592291 0.587114 5.20909 0.877311
4175.99 0.594223 0.589325 5.20219 0.877211
4176.33 0.59648 0.591866 5.19452 0.877111
4176.67 0.598829 0.594606 5.18686 0.87701
4177.01 0.601031 0.597424 5.17808 0.87691
4177.35 0.602962 0.600228 5.16861 0.87681
4177.7 0.604584 0.602964 5.15916 0.87671
4178.04 0.605882 0.605602 5.14752 0.87661
4178.38 0.606917 0.60812 5.13588 0.876511
4178.72 0.60778 0.61048 5.12214 0.876412
4179.06 0.608872 0.612631 5.10455 0.876313
4179.4 0.611054 0.614506 5.08705 0.876215
4179.75 0.615049 0.616065 5.06238 0.876117
4180.09 0.619892 0.617315 5.03511 0.876019
4180.43 0.623678 0.618322 5.01079 0.875922
4180.77 0.625097 0.619192 5.01452 0.875826
4181.11 0.624697 0.620045 5.01825 0.87573
4181.46 0.623381 0.620987 5.02113 0.875636
4181.8 0.622041 0.622084 5.02301 0.875541
4182.14 0.62156 0.623363 5.02488 0.875448
4182.48 0.622678 0.624807 5.01756 0.875355
4182.83 0.625166 0.62636 5.00835 0.875263
