"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4119.32 0.727185 0.717539 0.235355 0.891323
4119.65 0.744907 0.715391 0.234376 0.891481
4119.99 0.757174 0.713723 0.233404 0.891637
4120.33 0.75511 0.712604 0.233476 0.891791
4120.66 0.740864 0.712155 0.234056 0.891942
4121.0 0.723582 0.712469 0.234643 0.892091
4121.34 0.711081 0.713557 0.236545 0.892237
4121.68 0.705469 0.715337 0.238471 0.892381
4122.01 0.707419 0.717658 0.239266 0.892523
4122.35 0.716295 0.72034 0.237782 0.892663
4122.69 0.729442 0.723226 0.236312 0.892799
4123.02 0.744049 0.726204 0.235212 0.892934
4123.36 0.757558 0.729189 0.234297 0.893066
4123.7 0.76757 0.732082 0.233387 0.893195
4124.04 0.771884 0.734766 0.23506 0.893322
4124.37 0.769088 0.737119 0.236755 0.893446
4124.71 0.758006 0.739023 0.238956 0.893568
4125.05 0.740133 0.740376 0.242191 0.893687
4125.39 0.721118 0.741104 0.245493 0.893804
4125.72 0.706715 0.741151 0.247788 0.893918
4126.06 0.699625 0.740466 0.249568 0.894029
4126.4 0.700567 0.739001 0.251367 0.894138
4126.74 0.708823 0.736748 0.250835 0.894244
4127.07 0.718025 0.733763 0.250302 0.894348
4127.41 0.720461 0.730188 0.250283 0.894449
4127.75 0.713011 0.726238 0.251295 0.894547
4128.09 0.69969 0.722164 0.252314 0.894642
4128.43 0.685079 0.718169 0.253384 0.894735
4128.76 0.673216 0.714342 0.254484 0.894825
4129.1 0.667785 0.710626 0.255583 0.894912
4129.44 0.670864 0.706852 0.254639 0.894996
4129.78 0.678182 0.702799 0.253699 0.895078
4130.11 0.683946 0.698274 0.252879 0.895156
4130.45 0.685026 0.693212 0.252284 0.895232
4130.79 0.682356 0.687692 0.25169 0.895305
4131.13 0.677228 0.681908 0.251407 0.895376
4131.47 0.671087 0.676111 0.251271 0.895443
4131.8 0.665474 0.67057 0.25114 0.895507
4132.14 0.661505 0.665547 0.251351 0.895569
