Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4109.89,0.59369,0.595056,9.0458,0.864975
4110.23,0.594825,0.596583,9.04262,0.864946
4110.56,0.596743,0.598106,9.03248,0.864918
4110.9,0.599051,0.599596,9.02236,0.864894
4111.23,0.601228,0.600996,9.00825,0.864871
4111.57,0.60298,0.602251,8.98823,0.864851
4111.91,0.604298,0.603342,8.96827,0.864832
4112.24,0.605257,0.60428,8.94685,0.864816
4112.58,0.606505,0.605098,8.92492,0.864802
4112.92,0.609005,0.605846,8.90271,0.864789
4113.25,0.613058,0.606575,8.8737,0.864778
4113.59,0.616664,0.607323,8.84483,0.864769
4113.93,0.617373,0.608084,8.83999,0.864762
4114.26,0.614819,0.608833,8.87496,0.864756
4114.6,0.611519,0.609546,8.91014,0.864752
4114.94,0.610011,0.610203,8.91077,0.864749
4115.27,0.610877,0.610787,8.89676,0.864748
4115.61,0.613551,0.611298,8.88225,0.864747
4115.95,0.617304,0.611744,8.85089,0.864748
4116.28,0.62086,0.612115,8.8197,0.86475
4116.62,0.622832,0.612389,8.80004,0.864753
4116.96,0.622701,0.612546,8.80094,0.864757
4117.29,0.621206,0.612583,8.80183,0.864762
4117.63,0.619153,0.612509,8.81959,0.864768
4117.97,0.616981,0.612357,8.84519,0.864775
4118.3,0.614903,0.612166,8.87093,0.864782
4118.64,0.613132,0.611964,8.89869,0.864789
4118.98,0.611884,0.611742,8.92659,0.864798
4119.32,0.611369,0.611481,8.94964,0.864806
4119.65,0.61141,0.611166,8.96322,0.864816
4119.99,0.611244,0.610796,8.97683,0.864825
4120.33,0.610165,0.610391,8.98287,0.864834
4120.66,0.608704,0.609988,8.98522,0.864844
4121.0,0.608174,0.609625,8.9875,0.864854
4121.34,0.609461,0.609318,8.97081,0.864864
4121.68,0.611707,0.609059,8.95417,0.864874
4122.01,0.613626,0.608819,8.94791,0.864883
4122.35,0.614333,0.608556,8.96226,0.864892
4122.69,0.613564,0.608239,8.97664,0.864901
4123.02,0.611184,0.607856,9.0032,0.86491
4123.36,0.607958,0.607401,9.036,0.864918
4123.7,0.60523,0.606872,9.06897,0.864926
4124.04,0.604109,0.60627,9.07355,0.864933
4124.37,0.604716,0.605598,9.07808,0.864939
4124.71,0.606909,0.604841,9.0719,0.864945
4125.05,0.60997,0.603982,9.04413,0.86495
4125.39,0.612276,0.603008,9.0165,0.864954
4125.72,0.612242,0.601914,9.03971,0.864957
4126.06,0.609694,0.600695,9.08891,0.864959
4126.4,0.60537,0.599354,9.13851,0.864959
4126.74,0.600161,0.597898,9.20433,0.864959
4127.07,0.595504,0.596322,9.27089,0.864957
4127.41,0.592954,0.594597,9.31844,0.864954
4127.75,0.592854,0.592683,9.32666,0.864949
4128.09,0.593666,0.590552,9.3349,0.864943
4128.43,0.59378,0.58821,9.35705,0.864936
4128.76,0.592628,0.585717,9.38623,0.864927
4129.1,0.590315,0.583181,9.41557,0.864916
4129.44,0.587071,0.580729,9.45076,0.864903
4129.78,0.583567,0.578451,9.48614,0.864888
4130.11,0.580578,0.576381,9.51667,0.864872
4130.45,0.578482,0.574501,9.53746,0.864853
4130.79,0.577043,0.572763,9.55832,0.864832
4131.13,0.575986,0.571132,9.57588,0.864809
4131.47,0.575151,0.56963,9.59187,0.864784
4131.8,0.574449,0.568326,9.6078,0.864757
4132.14,0.573838,0.567288,9.61597,0.864727
4132.48,0.57345,0.566553,9.62414,0.864694
4132.82,0.573455,0.566124,9.62313,0.864659
4133.16,0.573886,0.565963,9.60522,0.864622
4133.5,0.574568,0.566011,9.58735,0.864582
4133.83,0.575319,0.566238,9.57386,0.864539
4134.17,0.576018,0.566642,9.56234,0.864493
4134.51,0.57659,0.567243,9.55145,0.864444
4134.85,0.576966,0.568065,9.56067,0.864392
4135.19,0.577123,0.569114,9.5699,0.864337
4135.53,0.577049,0.570356,9.58149,0.864279
4135.86,0.576859,0.571721,9.5971,0.864218
4136.2,0.57685,0.573116,9.61275,0.864154
4136.54,0.57731,0.57444,9.60916,0.864086
4136.88,0.578318,0.575608,9.59771,0.864014
4137.22,0.579833,0.576584,9.58514,0.863939
4137.56,0.581709,0.577377,9.55133,0.863861
4137.89,0.583449,0.577997,9.51769,0.863779
4138.23,0.584485,0.578442,9.50318,0.863693
4138.57,0.584519,0.578675,9.5181,0.863604
4138.91,0.583615,0.578622,9.53306,0.863512
4139.25,0.581869,0.578191,9.56947,0.863416
4139.59,0.579442,0.577328,9.61392,0.863317
4139.93,0.576534,0.576057,9.65902,0.863216
4140.26,0.573357,0.574469,9.70863,0.863111
