Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4137.89,0.722188,0.739031,1.4161,0.883478
4138.23,0.733106,0.743869,1.40363,0.883676
4138.57,0.73959,0.747698,1.39406,0.883873
4138.91,0.742427,0.750341,1.38458,0.884069
4139.25,0.74256,0.751552,1.38355,0.884265
4139.59,0.74058,0.751052,1.38557,0.88446
4139.93,0.736884,0.748592,1.38821,0.884654
4140.26,0.732055,0.744007,1.39833,0.884848
4140.6,0.727262,0.737257,1.40856,0.885041
4140.94,0.723743,0.728481,1.41946,0.885233
4141.28,0.721061,0.718002,1.43126,0.885425
4141.62,0.716713,0.706307,1.44321,0.885615
4141.96,0.708491,0.69401,1.45517,0.885805
4142.3,0.697696,0.681797,1.46723,0.885994
4142.64,0.687371,0.670368,1.47929,0.886181
4142.98,0.679767,0.660373,1.49019,0.886368
4143.31,0.674801,0.652365,1.50121,0.886554
4143.65,0.671937,0.646756,1.51171,0.886739
4143.99,0.669686,0.643797,1.52153,0.886923
4144.33,0.665481,0.643554,1.53146,0.887105
4144.67,0.657478,0.645911,1.53739,0.887287
4145.01,0.649643,0.650574,1.54231,0.887467
4145.35,0.64855,0.657097,1.54324,0.887647
4145.69,0.657628,0.664922,1.52075,0.887824
4146.03,0.672063,0.67343,1.49874,0.888001
4146.37,0.685846,0.681997,1.47938,0.888176
4146.71,0.696166,0.690053,1.46261,0.888351
4147.05,0.703492,0.69713,1.44612,0.888523
4147.38,0.708404,0.702897,1.44142,0.888695
4147.72,0.71124,0.707172,1.43895,0.888864
4148.06,0.712248,0.709921,1.43764,0.889033
4148.4,0.71188,0.711238,1.4414,0.8892
4148.74,0.711071,0.711324,1.44517,0.889365
4149.08,0.710764,0.710455,1.44913,0.889529
4149.42,0.710768,0.708936,1.45325,0.889691
4149.76,0.709854,0.707055,1.45739,0.889852
4150.1,0.706937,0.705038,1.46271,0.890011
4150.44,0.701981,0.703028,1.46822,0.890168
4150.78,0.695328,0.701095,1.47412,0.890324
4151.12,0.688368,0.699243,1.48124,0.890478
4151.46,0.684634,0.69744,1.48841,0.89063
4151.8,0.687616,0.695663,1.48737,0.89078
4152.14,0.696037,0.693908,1.48049,0.890929
4152.48,0.704781,0.692174,1.47365,0.891075
4152.82,0.70941,0.690452,1.47329,0.89122
4153.16,0.709307,0.688729,1.47339,0.891363
4153.5,0.705029,0.686996,1.47613,0.891503
4153.84,0.697813,0.685262,1.48553,0.891642
4154.18,0.690097,0.683579,1.49502,0.891779
4154.52,0.684323,0.682056,1.50009,0.891914
4154.86,0.681386,0.68085,1.5026,0.892046
4155.2,0.681106,0.680143,1.50513,0.892177
4155.54,0.68314,0.680114,1.50043,0.892305
4155.88,0.686581,0.680906,1.49568,0.892431
4156.22,0.690378,0.682612,1.49074,0.892555
4156.56,0.693854,0.685257,1.4854,0.892676
4156.9,0.696888,0.6888,1.4801,0.892796
4157.24,0.699436,0.693121,1.47762,0.892913
4157.58,0.701749,0.698042,1.47638,0.893027
4157.92,0.704259,0.70336,1.4751,0.893139
4158.26,0.707457,0.708882,1.47314,0.893249
4158.6,0.712044,0.714451,1.47118,0.893357
4158.94,0.718742,0.719966,1.46191,0.893461
4159.28,0.727472,0.72539,1.44218,0.893564
4159.62,0.737126,0.730709,1.42285,0.893663
4159.96,0.746494,0.735898,1.41298,0.893761
4160.3,0.754089,0.740901,1.40605,0.893855
4160.64,0.758284,0.745635,1.39977,0.893947
4160.98,0.758279,0.749996,1.39795,0.894036
4161.32,0.755626,0.753884,1.39614,0.894123
4161.66,0.752264,0.757231,1.39626,0.894207
4162.0,0.749474,0.759996,1.39852,0.894288
4162.34,0.747824,0.762161,1.40079,0.894366
4162.68,0.747746,0.763711,1.40261,0.894441
4163.02,0.748989,0.764622,1.40433,0.894514
4163.36,0.751019,0.764844,1.40517,0.894583
4163.7,0.753564,0.764312,1.40216,0.89465
4164.05,0.756953,0.762968,1.39916,0.894714
4164.39,0.76154,0.760784,1.39526,0.894774
4164.73,0.766509,0.757787,1.39062,0.894832
4165.07,0.770009,0.754065,1.38599,0.894887
4165.41,0.77034,0.749778,1.38929,0.894938
4165.75,0.766827,0.745154,1.39344,0.894987
4166.09,0.759145,0.740464,1.39959,0.895032
4166.43,0.748109,0.736,1.41139,0.895074
4166.77,0.736669,0.732035,1.42333,0.895112
4167.11,0.727852,0.728794,1.4319,0.895148
4167.45,0.722523,0.726409,1.4384,0.89518
4167.79,0.719981,0.724881,1.44495,0.895209
4168.14,0.719388,0.724057,1.44834,0.895235
4168.48,0.719481,0.723642,1.4517,0.895257
4168.82,0.718898,0.723247,1.45499,0.895275
4169.16,0.71685,0.722442,1.45816,0.895291
4169.5,0.713416,0.720825,1.46133,0.895303
4169.84,0.708766,0.718098,1.46657,0.895311
4170.18,0.703277,0.714099,1.4727,0.895315
4170.52,0.697447,0.708815,1.4793,0.895317
4170.86,0.691661,0.702372,1.49209,0.895314
4171.21,0.685933,0.695021,1.50504,0.895308
4171.55,0.680212,0.687106,1.51633,0.895298
4171.89,0.674779,0.679034,1.52531,0.895285
4172.23,0.670309,0.671245,1.53437,0.895267
4172.57,0.667356,0.664179,1.54001,0.895246
4172.91,0.665386,0.658227,1.54477,0.895222
4173.25,0.663367,0.653677,1.55003,0.895193
4173.6,0.660488,0.650679,1.55785,0.89516
4173.94,0.656501,0.64924,1.56573,0.895124
4174.28,0.651288,0.649236,1.57428,0.895083
4174.62,0.645664,0.650443,1.58347,0.895039
4174.96,0.641324,0.652589,1.59274,0.894991
4175.3,0.6398,0.655402,1.59671,0.894938
4175.64,0.641509,0.658638,1.60001,0.894882
4175.99,0.646472,0.662096,1.60072,0.894821
4176.33,0.654001,0.665635,1.59381,0.894757
4176.67,0.662047,0.669166,1.58695,0.894688
4177.01,0.668552,0.672638,1.57746,0.894615
4177.35,0.673503,0.676027,1.56644,0.894537
4177.7,0.678384,0.679326,1.55554,0.894456
4178.04,0.68415,0.682518,1.54718,0.89437
4178.38,0.689417,0.685573,1.53892,0.89428
