Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4117.63,0.660261,0.655743,10.3233,0.891474
4117.97,0.658985,0.654187,10.3628,0.891564
4118.3,0.657061,0.652582,10.4028,0.891654
4118.64,0.654254,0.651002,10.4671,0.891744
4118.98,0.650978,0.649491,10.532,0.891834
4119.32,0.647798,0.648074,10.5909,0.891924
4119.65,0.645123,0.646777,10.6378,0.892014
4119.99,0.643128,0.645631,10.685,0.892103
4120.33,0.641985,0.64468,10.6967,0.892192
4120.66,0.642077,0.64398,10.6912,0.892281
4121.0,0.643914,0.643581,10.6856,0.892369
4121.34,0.647531,0.643514,10.6576,0.892457
4121.68,0.651049,0.643777,10.6297,0.892544
4122.01,0.652148,0.64434,10.6123,0.89263
4122.35,0.650244,0.645148,10.6157,0.892715
4122.69,0.647432,0.646134,10.6191,0.892799
4123.02,0.645906,0.647233,10.6115,0.892883
4123.36,0.646268,0.648378,10.5985,0.892965
4123.7,0.648093,0.649502,10.5854,0.893046
4124.04,0.650823,0.650538,10.5693,0.893126
4124.37,0.653449,0.651412,10.5533,0.893205
4124.71,0.654854,0.652055,10.5465,0.893282
4125.05,0.654542,0.652409,10.5587,0.893358
4125.39,0.652981,0.652437,10.5708,0.893432
4125.72,0.650721,0.652123,10.6035,0.893505
4126.06,0.648286,0.651458,10.6468,0.893576
4126.4,0.646184,0.650425,10.6903,0.893645
4126.74,0.644811,0.648994,10.7127,0.893712
4127.07,0.644126,0.647123,10.7351,0.893778
4127.41,0.643973,0.644769,10.7522,0.893841
4127.75,0.644028,0.641905,10.7586,0.893902
4128.09,0.643704,0.638548,10.7649,0.893961
4128.43,0.642425,0.634753,10.8022,0.894018
4128.76,0.639989,0.630611,10.8551,0.894073
4129.1,0.636438,0.626223,10.9085,0.894125
4129.44,0.631892,0.621691,10.9708,0.894174
4129.78,0.626762,0.617102,11.0337,0.894221
4130.11,0.621525,0.612538,11.1046,0.894266
4130.45,0.616426,0.608083,11.1909,0.894307
4130.79,0.611353,0.603828,11.2782,0.894346
4131.13,0.60619,0.599868,11.377,0.894382
4131.47,0.601155,0.596309,11.4822,0.894415
4131.8,0.596673,0.593257,11.5884,0.894445
4132.14,0.593205,0.590809,11.6523,0.894472
4132.48,0.591332,0.589051,11.7167,0.894495
4132.82,0.591653,0.588067,11.7419,0.894516
4133.16,0.594006,0.587924,11.6939,0.894533
4133.5,0.597109,0.588668,11.6463,0.894546
4133.83,0.59969,0.590322,11.6101,0.894556
4134.17,0.60155,0.592879,11.579,0.894563
4134.51,0.603138,0.596291,11.548,0.894565
4134.85,0.604911,0.600461,11.5166,0.894564
4135.19,0.60732,0.605246,11.4854,0.894559
4135.53,0.610804,0.610459,11.4368,0.894551
4135.86,0.6153,0.615893,11.3591,0.894538
4136.2,0.62004,0.621336,11.2821,0.894521
4136.54,0.624272,0.626597,11.2075,0.8945
4136.88,0.627958,0.631503,11.1343,0.894475
4137.22,0.631472,0.635909,11.0619,0.894445
4137.56,0.635078,0.639683,10.9933,0.894411
4137.89,0.638655,0.642693,10.9253,0.894373
4138.23,0.641995,0.644818,10.8703,0.89433
4138.57,0.644702,0.645966,10.8348,0.894283
4138.91,0.646133,0.646082,10.7994,0.894232
4139.25,0.64572,0.64515,10.8167,0.894177
4139.59,0.643774,0.643196,10.8531,0.894117
4139.93,0.641073,0.64027,10.8918,0.894054
4140.26,0.638164,0.636442,10.9563,0.893987
4140.6,0.634834,0.631799,11.0213,0.893916
4140.94,0.630732,0.626458,11.095,0.893841
4141.28,0.625866,0.620576,11.1805,0.893762
4141.62,0.620685,0.614349,11.267,0.89368
4141.96,0.615639,0.608007,11.3484,0.893594
4142.3,0.610922,0.601795,11.4287,0.893505
4142.64,0.606602,0.595949,11.51,0.893413
4142.98,0.60262,0.590671,11.5924,0.893317
4143.31,0.598552,0.58612,11.6757,0.893218
4143.65,0.593924,0.582399,11.7627,0.893115
4143.99,0.588761,0.579569,11.8541,0.89301
4144.33,0.583654,0.577658,11.9466,0.892902
4144.67,0.579231,0.576672,12.0091,0.89279
4145.01,0.57618,0.576603,12.0642,0.892676
4145.35,0.575214,0.577417,12.1077,0.892559
4145.69,0.576658,0.579038,12.0806,0.892439
4146.03,0.579819,0.581322,12.0535,0.892317
4146.37,0.583839,0.584074,12.0052,0.892191
4146.71,0.58786,0.587064,11.9354,0.892064
4147.05,0.591014,0.590051,11.8661,0.891934
4147.38,0.592607,0.592823,11.8438,0.891801
4147.72,0.593075,0.595226,11.8304,0.891667
4148.06,0.593302,0.59718,11.8161,0.89153
4148.4,0.593842,0.59866,11.7977,0.891391
4148.74,0.594472,0.599669,11.7794,0.89125
4149.08,0.594867,0.60023,11.7736,0.891106
4149.42,0.59489,0.600377,11.7786,0.890961
4149.76,0.594569,0.60015,11.7837,0.890814
4150.1,0.593958,0.599589,11.7977,0.890666
4150.44,0.59322,0.598757,11.8128,0.890515
4150.78,0.592557,0.597726,11.828,0.890363
4151.12,0.592007,0.596566,11.8432,0.89021
4151.46,0.591281,0.595329,11.8584,0.890054
4151.8,0.590057,0.594055,11.8789,0.889898
4152.14,0.588148,0.592772,11.9032,0.88974
4152.48,0.585471,0.591498,11.9275,0.889581
4152.82,0.582141,0.590255,11.974,0.88942
4153.16,0.579225,0.589074,12.0222,0.889259
4153.5,0.578072,0.587994,12.0554,0.889096
4153.84,0.579144,0.587062,12.0499,0.888933
4154.18,0.581344,0.586333,12.0445,0.888768
