Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4067.19,0.535301,0.554137,2.03435,0.841305
4067.27,0.535827,0.554609,2.03136,0.841166
4067.34,0.536366,0.555166,2.02832,0.841027
4067.42,0.536921,0.555753,2.02528,0.840888
4067.49,0.537495,0.556317,2.02225,0.840749
4067.56,0.538091,0.556836,2.01923,0.84061
4067.64,0.538712,0.557337,2.01621,0.840472
4067.71,0.539361,0.557844,2.0132,0.840333
4067.79,0.540039,0.558379,2.0102,0.840195
4067.86,0.54075,0.558918,2.00721,0.840057
4067.93,0.541496,0.559406,2.00422,0.83992
4068.01,0.542284,0.559824,2.00125,0.839782
4068.08,0.543114,0.560179,1.99848,0.839645
4068.15,0.543983,0.560478,1.99572,0.839508
4068.23,0.544887,0.56078,1.99304,0.839371
4068.3,0.545817,0.561167,1.99049,0.839234
4068.38,0.54676,0.561655,1.98795,0.839097
4068.45,0.547702,0.562162,1.98541,0.838961
4068.52,0.548631,0.56262,1.98288,0.838825
4068.6,0.549535,0.562999,1.98035,0.838689
4068.67,0.550402,0.563288,1.97783,0.838553
4068.75,0.551221,0.563489,1.97531,0.838417
4068.82,0.551978,0.563658,1.9728,0.838282
4068.89,0.552663,0.563857,1.97029,0.838147
4068.97,0.553261,0.564086,1.96778,0.838012
4069.04,0.553757,0.56428,1.9658,0.837877
4069.12,0.554144,0.564402,1.96418,0.837742
4069.19,0.55442,0.564457,1.96257,0.837608
4069.26,0.554584,0.564473,1.96226,0.837474
4069.34,0.554649,0.564461,1.96213,0.83734
4069.41,0.554633,0.564435,1.962,0.837206
4069.49,0.554554,0.564357,1.96187,0.837072
4069.56,0.554425,0.564188,1.96174,0.836939
4069.63,0.554263,0.563965,1.96161,0.836806
4069.71,0.55408,0.56375,1.96148,0.836673
4069.78,0.553893,0.563592,1.96135,0.83654
4069.86,0.553716,0.563543,1.96122,0.836407
4069.93,0.553565,0.563677,1.96109,0.836275
4070.0,0.553458,0.563924,1.96095,0.836143
4070.08,0.553408,0.564165,1.96076,0.836011
4070.15,0.553427,0.564339,1.96057,0.835879
4070.23,0.553523,0.564436,1.96032,0.835748
4070.3,0.553698,0.564426,1.95995,0.835616
4070.37,0.55394,0.564324,1.95958,0.835485
4070.45,0.554235,0.564213,1.95921,0.835354
4070.52,0.554573,0.564132,1.95885,0.835224
4070.6,0.554943,0.564066,1.95848,0.835093
4070.67,0.555336,0.563992,1.95811,0.834963
4070.74,0.555741,0.563915,1.95774,0.834833
4070.82,0.556147,0.563834,1.95737,0.834703
4070.89,0.556545,0.563764,1.95701,0.834574
4070.97,0.556922,0.563719,1.95664,0.834444
4071.04,0.557269,0.563704,1.95635,0.834315
4071.11,0.557574,0.563716,1.95611,0.834186
4071.19,0.55783,0.563725,1.95588,0.834058
4071.26,0.558028,0.563685,1.95645,0.833929
4071.34,0.55817,0.563556,1.95715,0.833801
4071.41,0.55826,0.563353,1.95786,0.833673
4071.48,0.558303,0.56309,1.95856,0.833545
4071.56,0.558302,0.562774,1.95927,0.833417
4071.63,0.558262,0.562445,1.95997,0.83329
4071.71,0.558186,0.562146,1.96068,0.833163
4071.78,0.558078,0.561888,1.96139,0.833036
4071.85,0.557942,0.561644,1.9621,0.832909
4071.93,0.557782,0.561415,1.9628,0.832783
4072.0,0.557601,0.561179,1.96351,0.832657
4072.08,0.557405,0.560915,1.96422,0.832531
