Mhost,Msat,R,V,m_infall,m_max,r,r_min,t_infall,t_peri,v,v_max
207022159451509.6,207022159451509.6,0.0,0.0,,207022159451509.6,0.0,0.0,,,0.0,0.0
181979314675143.28,181979314675143.28,0.0,0.0,,181979314675143.28,0.0,0.0,,,0.0,0.0
212161005843285.03,212161005843285.03,0.0,0.0,,212161005843285.03,0.0,0.0,,,0.0,0.0
221332344075722.28,221332344075722.28,0.0,0.0,,221332344075722.28,0.0,0.0,,,0.0,0.0
137181682175243.72,137181682175243.72,0.0,0.0,,137181682175243.72,0.0,0.0,,,0.0,0.0
159035455745134.4,159035455745134.4,0.0,0.0,,159035455745134.4,0.0,0.0,,,0.0,0.0
204171346162008.84,204171346162008.84,0.0,0.0,,204171346162008.84,0.0,0.0,,,0.0,0.0
122540624582901.05,122540624582901.05,0.0,0.0,,122540624582901.05,0.0,0.0,,,0.0,0.0
195714923019344.16,195714923019344.16,0.0,0.0,,195714923019344.16,0.0,0.0,,,0.0,0.0
132503255127728.2,132503255127728.2,0.0,0.0,,132503255127728.2,0.0,0.0,,,0.0,0.0
145122162557920.22,145122162557920.22,0.0,0.0,,145122162557920.22,0.0,0.0,,,0.0,0.0
133810787580596.72,133810787580596.72,0.0,0.0,,133810787580596.72,0.0,0.0,,,0.0,0.0
118281689889654.34,118281689889654.34,0.0,0.0,,118281689889654.34,0.0,0.0,,,0.0,0.0
119898671524490.4,119898671524490.4,0.0,0.0,,119898671524490.4,0.0,0.0,,,0.0,0.0
132753327338446.08,132753327338446.08,0.0,0.0,,132753327338446.08,0.0,0.0,,,0.0,0.0
110324965097689.8,110324965097689.8,0.0,0.0,,110324965097689.8,0.0,0.0,,,0.0,0.0
137042830267935.0,137042830267935.0,0.0,0.0,,137042830267935.0,0.0,0.0,,,0.0,0.0
134992614822002.94,134992614822002.94,0.0,0.0,,134992614822002.94,0.0,0.0,,,0.0,0.0
116997786794918.77,116997786794918.77,0.0,0.0,,116997786794918.77,0.0,0.0,,,0.0,0.0
479516970663137.3,479516970663137.3,0.0,0.0,,479516970663137.3,0.0,0.0,,,0.0,0.0
209288037707249.6,209288037707249.6,0.0,0.0,,209288037707249.6,0.0,0.0,,,0.0,0.0
343821261625855.25,343821261625855.25,0.0,0.0,,343821261625855.25,0.0,0.0,,,0.0,0.0
715409137893908.4,715409137893908.4,0.0,0.0,,715409137893908.4,0.0,0.0,,,0.0,0.0
241288037102227.47,241288037102227.47,0.0,0.0,,241288037102227.47,0.0,0.0,,,0.0,0.0
166912854291285.06,166912854291285.06,0.0,0.0,,166912854291285.06,0.0,0.0,,,0.0,0.0
649335306690741.5,649335306690741.5,0.0,0.0,,649335306690741.5,0.0,0.0,,,0.0,0.0
522451972852277.7,522451972852277.7,0.0,0.0,,522451972852277.7,0.0,0.0,,,0.0,0.0
220406202101790.25,220406202101790.25,0.0,0.0,,220406202101790.25,0.0,0.0,,,0.0,0.0
135175925112626.28,135175925112626.28,0.0,0.0,,135175925112626.28,0.0,0.0,,,0.0,0.0
620165452641181.6,620165452641181.6,0.0,0.0,,620165452641181.6,0.0,0.0,,,0.0,0.0
515066478809808.0,515066478809808.0,0.0,0.0,,515066478809808.0,0.0,0.0,,,0.0,0.0
254357463584519.97,254357463584519.97,0.0,0.0,,254357463584519.97,0.0,0.0,,,0.0,0.0
345446074280271.75,345446074280271.75,0.0,0.0,,345446074280271.75,0.0,0.0,,,0.0,0.0
321122605301033.94,321122605301033.94,0.0,0.0,,321122605301033.94,0.0,0.0,,,0.0,0.0
288618917700443.1,288618917700443.1,0.0,0.0,,288618917700443.1,0.0,0.0,,,0.0,0.0
158345644525093.03,158345644525093.03,0.0,0.0,,158345644525093.03,0.0,0.0,,,0.0,0.0
122747415541412.12,122747415541412.12,0.0,0.0,,122747415541412.12,0.0,0.0,,,0.0,0.0
174545050232248.16,174545050232248.16,0.0,0.0,,174545050232248.16,0.0,0.0,,,0.0,0.0
115337226527385.52,115337226527385.52,0.0,0.0,,115337226527385.52,0.0,0.0,,,0.0,0.0
131503251274493.34,131503251274493.34,0.0,0.0,,131503251274493.34,0.0,0.0,,,0.0,0.0
178385521012088.62,178385521012088.62,0.0,0.0,,178385521012088.62,0.0,0.0,,,0.0,0.0
215013306035237.8,215013306035237.8,0.0,0.0,,215013306035237.8,0.0,0.0,,,0.0,0.0
141366172619060.56,141366172619060.56,0.0,0.0,,141366172619060.56,0.0,0.0,,,0.0,0.0
159742985886062.03,159742985886062.03,0.0,0.0,,159742985886062.03,0.0,0.0,,,0.0,0.0
155933529413199.4,155933529413199.4,0.0,0.0,,155933529413199.4,0.0,0.0,,,0.0,0.0
197196460231657.3,197196460231657.3,0.0,0.0,,197196460231657.3,0.0,0.0,,,0.0,0.0
137296892333565.72,137296892333565.72,0.0,0.0,,137296892333565.72,0.0,0.0,,,0.0,0.0
144490836167657.3,144490836167657.3,0.0,0.0,,144490836167657.3,0.0,0.0,,,0.0,0.0
165802063814522.88,165802063814522.88,0.0,0.0,,165802063814522.88,0.0,0.0,,,0.0,0.0
230871492411367.75,230871492411367.75,0.0,0.0,,230871492411367.75,0.0,0.0,,,0.0,0.0
135169865985134.4,135169865985134.4,0.0,0.0,,135169865985134.4,0.0,0.0,,,0.0,0.0
168193498591480.06,168193498591480.06,0.0,0.0,,168193498591480.06,0.0,0.0,,,0.0,0.0
200516986005742.97,200516986005742.97,0.0,0.0,,200516986005742.97,0.0,0.0,,,0.0,0.0
159626288825288.03,159626288825288.03,0.0,0.0,,159626288825288.03,0.0,0.0,,,0.0,0.0
174435750511172.8,174435750511172.8,0.0,0.0,,174435750511172.8,0.0,0.0,,,0.0,0.0
157989655296378.12,157989655296378.12,0.0,0.0,,157989655296378.12,0.0,0.0,,,0.0,0.0
154701630731722.28,154701630731722.28,0.0,0.0,,154701630731722.28,0.0,0.0,,,0.0,0.0
125228956606960.12,125228956606960.12,0.0,0.0,,125228956606960.12,0.0,0.0,,,0.0,0.0
133865146256070.88,133865146256070.88,0.0,0.0,,133865146256070.88,0.0,0.0,,,0.0,0.0
136193945267237.8,136193945267237.8,0.0,0.0,,136193945267237.8,0.0,0.0,,,0.0,0.0
137530868825240.77,137530868825240.77,0.0,0.0,,137530868825240.77,0.0,0.0,,,0.0,0.0
128719794666067.94,128719794666067.94,0.0,0.0,,128719794666067.94,0.0,0.0,,,0.0,0.0
135348591659864.1,135348591659864.1,0.0,0.0,,135348591659864.1,0.0,0.0,,,0.0,0.0
111723334899521.4,111723334899521.4,0.0,0.0,,111723334899521.4,0.0,0.0,,,0.0,0.0
123420387591184.62,123420387591184.62,0.0,0.0,,123420387591184.62,0.0,0.0,,,0.0,0.0
463355976602658.8,463355976602658.8,0.0,0.0,,463355976602658.8,0.0,0.0,,,0.0,0.0
249765140579828.62,249765140579828.62,0.0,0.0,,249765140579828.62,0.0,0.0,,,0.0,0.0
451302798382889.2,451302798382889.2,0.0,0.0,,451302798382889.2,0.0,0.0,,,0.0,0.0
227855236442375.2,227855236442375.2,0.0,0.0,,227855236442375.2,0.0,0.0,,,0.0,0.0
294485962177228.94,294485962177228.94,0.0,0.0,,294485962177228.94,0.0,0.0,,,0.0,0.0
219285077652986.7,219285077652986.7,0.0,0.0,,219285077652986.7,0.0,0.0,,,0.0,0.0
232939426778186.1,232939426778186.1,0.0,0.0,,232939426778186.1,0.0,0.0,,,0.0,0.0
318403258969997.0,318403258969997.0,0.0,0.0,,318403258969997.0,0.0,0.0,,,0.0,0.0
335428366390452.0,335428366390452.0,0.0,0.0,,335428366390452.0,0.0,0.0,,,0.0,0.0
300542091082493.3,300542091082493.3,0.0,0.0,,300542091082493.3,0.0,0.0,,,0.0,0.0
206450519803840.47,206450519803840.47,0.0,0.0,,206450519803840.47,0.0,0.0,,,0.0,0.0
185376663742582.0,185376663742582.0,0.0,0.0,,185376663742582.0,0.0,0.0,,,0.0,0.0
256270314025595.25,256270314025595.25,0.0,0.0,,256270314025595.25,0.0,0.0,,,0.0,0.0
186459376544709.0,186459376544709.0,0.0,0.0,,186459376544709.0,0.0,0.0,,,0.0,0.0
193549485024236.3,193549485024236.3,0.0,0.0,,193549485024236.3,0.0,0.0,,,0.0,0.0
140974894238818.3,140974894238818.3,0.0,0.0,,140974894238818.3,0.0,0.0,,,0.0,0.0
185680945938528.8,185680945938528.8,0.0,0.0,,185680945938528.8,0.0,0.0,,,0.0,0.0
113801033259107.84,113801033259107.84,0.0,0.0,,113801033259107.84,0.0,0.0,,,0.0,0.0
188047264454901.03,188047264454901.03,0.0,0.0,,188047264454901.03,0.0,0.0,,,0.0,0.0
112905025841536.2,112905025841536.2,0.0,0.0,,112905025841536.2,0.0,0.0,,,0.0,0.0
198079767024118.16,198079767024118.16,0.0,0.0,,198079767024118.16,0.0,0.0,,,0.0,0.0
226158061201961.6,226158061201961.6,0.0,0.0,,226158061201961.6,0.0,0.0,,,0.0,0.0
157754799054085.66,157754799054085.66,0.0,0.0,,157754799054085.66,0.0,0.0,,,0.0,0.0
