Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4112.7,0.694693,0.717316,0.261501,0.911378
4113.07,0.710947,0.722657,0.259938,0.911285
4113.45,0.72779,0.728154,0.257578,0.911185
4113.82,0.74405,0.733536,0.25525,0.91108
4114.2,0.758786,0.738514,0.253623,0.910969
4114.57,0.770457,0.742793,0.252617,0.910853
4114.94,0.776959,0.746101,0.251616,0.910731
4115.32,0.776755,0.748216,0.25215,0.910603
4115.69,0.772033,0.748988,0.252955,0.91047
4116.07,0.76642,0.748367,0.253867,0.910332
4116.44,0.762098,0.746408,0.255259,0.910189
4116.81,0.7578,0.743274,0.256662,0.91004
4117.19,0.75179,0.739231,0.258015,0.909887
4117.56,0.743067,0.734623,0.259317,0.909728
4117.94,0.731358,0.729839,0.26063,0.909565
4118.31,0.71734,0.725268,0.261532,0.909397
4118.69,0.707784,0.721247,0.262354,0.909225
4119.06,0.71193,0.718013,0.262796,0.909048
4119.44,0.732106,0.715683,0.26127,0.908866
4119.81,0.753466,0.714258,0.259757,0.908681
4120.18,0.759137,0.713664,0.259327,0.908491
4120.56,0.746395,0.713798,0.260004,0.908297
4120.93,0.726967,0.714555,0.260685,0.908099
4121.31,0.712142,0.71583,0.262394,0.907897
4121.68,0.705691,0.717523,0.264346,0.907691
4122.06,0.70822,0.719533,0.265742,0.907481
4122.43,0.719116,0.721776,0.26398,0.907268
4122.81,0.734706,0.724179,0.262235,0.907051
4123.18,0.750853,0.72666,0.260943,0.906831
4123.56,0.764013,0.729097,0.260122,0.906608
4123.93,0.771251,0.731323,0.259304,0.906381
4124.31,0.769994,0.733145,0.26184,0.906151
4124.68,0.760011,0.734375,0.265181,0.905918
4125.06,0.742075,0.734871,0.268743,0.905682
4125.43,0.719328,0.734555,0.273279,0.905443
4125.81,0.700976,0.733425,0.277931,0.905201
4126.18,0.696775,0.731551,0.279814,0.904957
4126.56,0.706111,0.729073,0.278653,0.90471
4126.93,0.717542,0.726177,0.277498,0.904461
4127.31,0.720482,0.723049,0.27816,0.904209
4127.68,0.713864,0.719823,0.27923,0.903955
4128.06,0.700685,0.716546,0.280345,0.903699
4128.43,0.684783,0.713169,0.281684,0.903441
4128.81,0.672096,0.70957,0.283033,0.903181
4129.18,0.668636,0.705604,0.283281,0.902919
4129.56,0.674088,0.701144,0.282372,0.902655
4129.93,0.681616,0.696123,0.281467,0.902389
4130.31,0.684898,0.690553,0.280713,0.902122
4130.69,0.683239,0.684556,0.279993,0.901853
4131.06,0.678294,0.67838,0.279379,0.901583
4131.44,0.671776,0.672407,0.279301,0.901312
4131.81,0.665516,0.667118,0.279223,0.901039
4132.19,0.661279,0.663015,0.279363,0.900765
4132.56,0.658865,0.660543,0.279722,0.90049
4132.94,0.656097,0.660033,0.280083,0.900215
4133.31,0.651612,0.661666,0.280162,0.899938
4133.69,0.649987,0.66547,0.280187,0.899661
4134.07,0.658183,0.671312,0.279857,0.899383
4134.44,0.678849,0.678913,0.277875,0.899104
4134.82,0.704283,0.687869,0.275913,0.898825
4135.19,0.725516,0.697701,0.274016,0.898546
4135.57,0.738969,0.707914,0.27218,0.898267
4135.95,0.746247,0.718058,0.270362,0.897987
4136.32,0.749292,0.727768,0.269145,0.897707
4136.7,0.750799,0.736779,0.268035,0.897427
4137.07,0.753748,0.744895,0.267129,0.897148
4137.45,0.759315,0.751942,0.267042,0.896868
4137.83,0.764589,0.75774,0.266954,0.896589
4138.2,0.766251,0.762072,0.267521,0.89631
4138.58,0.764024,0.764696,0.26866,0.896031
4138.95,0.760395,0.765351,0.269806,0.895753
4139.33,0.757607,0.76379,0.270513,0.895474
4139.71,0.755898,0.759823,0.27116,0.895196
4140.08,0.754781,0.753362,0.27161,0.894919
4140.46,0.75322,0.744483,0.271356,0.894641
4140.84,0.749021,0.733456,0.271103,0.894364
4141.21,0.739946,0.720776,0.271675,0.894088
4141.59,0.725587,0.707151,0.272891,0.893811
4141.97,0.707087,0.693461,0.274116,0.893535
4142.34,0.685977,0.680677,0.27703,0.89326
4142.72,0.665589,0.669753,0.280165,0.892985
4143.1,0.649835,0.661499,0.282738,0.89271
4143.47,0.641146,0.656465,0.283511,0.892436
4143.85,0.639094,0.654866,0.284286,0.892163
4144.23,0.642887,0.656581,0.282666,0.89189
4144.6,0.651204,0.661185,0.279474,0.891617
4144.98,0.662316,0.668025,0.276336,0.891345
4145.36,0.674476,0.676298,0.275777,0.891074
4145.73,0.68592,0.685146,0.27537,0.890803
4146.11,0.694889,0.693742,0.274476,0.890533
4146.49,0.700579,0.701384,0.272398,0.890263
4146.86,0.703846,0.707571,0.270344,0.889995
4147.24,0.705734,0.712047,0.269204,0.889726
